team,year,leag,o_fgm,o_fga,o_ftm,o_fta,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_3pm,o_3pa,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_3pm,d_3pa,d_pts,pace,won,lost
NYK,1955,N,2508,6395,2196,2913,0,0,4562,1610,1923,0,0,0,0,0,7212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7243,0,35,37
PH1,1955,N,2641,6437,2142,2829,0,0,4362,1886,1872,0,0,0,0,0,7424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7114,0,45,27
ROC,1955,N,2551,6890,1798,2567,0,0,4449,1747,1990,0,0,0,0,0,6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7106,0,31,41
STL,1955,N,2506,6628,1941,2761,0,0,4493,1748,1971,0,0,0,0,0,6953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7056,0,33,39
SYR,1955,N,2466,6661,2044,2703,0,0,4060,1710,1783,0,0,0,0,0,6976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6977,0,35,37
BOS,1956,N,2808,7326,1983,2644,0,0,4963,1464,1851,0,0,0,0,0,7599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7214,0,44,28
FTW,1956,N,2532,6612,1874,2510,0,0,4289,1398,1643,0,0,0,0,0,6938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7106,0,34,38
MIE,1956,N,2584,6965,2195,2899,0,0,4581,1195,1887,0,0,0,0,0,7363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7423,0,34,38
NYK,1956,N,2569,6645,2117,2844,0,0,4723,1312,1824,0,0,0,0,0,7255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7265,0,36,36
PH1,1956,N,2584,6533,2062,2658,0,0,4305,1467,1732,0,0,0,0,0,7230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7114,0,37,35
ROC,1956,N,2515,6807,1698,2402,0,0,4171,1298,1866,0,0,0,0,0,6728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6883,0,31,41
STL,1956,N,2557,6669,1977,2710,0,0,4566,1454,1848,0,0,0,0,0,7091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7099,0,34,38
SYR,1956,N,2550,6915,2075,2613,0,0,4350,1282,1809,0,0,0,0,0,7175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7279,0,38,34
BOS,1957,N,3006,7759,1904,2585,0,0,5402,1508,1723,0,0,0,0,0,7916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7517,0,49,23
CIN,1957,N,2817,7339,1688,2372,0,0,4959,1578,1835,0,0,0,0,0,7322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7243,0,33,39
DET,1957,N,2746,7295,2093,2774,0,0,5168,1264,1807,0,0,0,0,0,7585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7754,0,33,39
MIE,1957,N,2660,7192,2246,3007,0,0,5189,1322,1982,0,0,0,0,0,7566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8028,0,19,53
NYK,1957,N,2884,7307,2300,3056,0,0,5385,1359,1865,0,0,0,0,0,8068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7978,0,35,37
PH1,1957,N,2765,7276,1977,2596,0,0,4836,1441,1763,0,0,0,0,0,7507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7517,0,37,35
STL,1957,N,2779,7162,2180,3047,0,0,5445,1541,1875,0,0,0,0,0,7738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7646,0,41,31
SYR,1957,N,2823,7336,2075,2617,0,0,4895,1298,1820,0,0,0,0,0,7721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7567,0,41,31
BOS,1958,N,3208,8116,1963,2563,0,0,5601,1568,1769,0,0,0,0,0,8379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7913,0,52,20
